Electric Range,Predicted_Electric_Range
42.0,64.7950299470831
53.0,43.55129082073836
53.0,70.80235172420362
53.0,76.480323541291
53.0,57.29030974671332
53.0,66.95197430317785
53.0,61.79821287667437
220.0,153.84333461926872
215.0,153.94739246057725
53.0,64.38389997219929
53.0,70.57373057748191
53.0,79.68672650020744
53.0,49.61176665891253
42.0,66.31084246193495
53.0,72.05736712025828
220.0,149.19977969299362
84.0,173.56097071563272
53.0,70.520667959805
53.0,51.13018280512915
53.0,60.53271194258559
53.0,57.72909295642603
53.0,52.31390347130218
53.0,70.9033445558598
53.0,46.78843799092283
53.0,66.21460362406651
238.0,154.7488329087646
53.0,80.30662046463112
53.0,69.19284906426037
215.0,140.04998150088068
53.0,66.82137261025491
53.0,50.30891672495636
53.0,68.15962785168813
84.0,165.16083839567727
25.0,-35.68805375735974
53.0,76.40178256888612
53.0,84.81418645271333
53.0,71.61176180457551
53.0,69.73591332693468
53.0,82.67623529313278
238.0,157.72015898814425
23.0,-59.086297283589374
42.0,80.45993572325096
53.0,75.44744269795046
53.0,48.89148333666526
53.0,68.56429321022006
293.0,149.62979619126418
75.0,182.22388350079564
238.0,160.888838453473
53.0,61.81094486845541
53.0,86.60420344200975
259.0,151.9644019440675
73.0,194.59634967268357
53.0,62.24414008214808
53.0,51.472160263889236
53.0,73.97352290695562
53.0,66.91642001227592
53.0,71.36105878087255
53.0,63.87358807050623
53.0,53.71208075722825
53.0,78.1037535084688
53.0,35.80847524041019
83.0,175.3135822541226
53.0,67.00825625396101
6.0,11.43081602510938
53.0,71.12060479135835
53.0,45.630322029399395
53.0,81.44926888240298
53.0,75.46336326460005
53.0,67.50552269073523
18.0,-37.26913683301973
53.0,61.47031632247672
53.0,72.10628203171655
53.0,61.87597121739236
53.0,67.53731122912723
53.0,69.04918163825641
53.0,61.1476016860106
53.0,57.09908498846926
53.0,69.31168157463253
35.0,124.8432577062049
40.0,39.971182261477225
18.0,-38.83642533110833
53.0,56.3035683200942
25.0,-14.504994642426027
53.0,77.91771492861153
53.0,70.60045034901123
291.0,147.65732349804603
32.0,75.78695522718044
53.0,68.26117775061721
25.0,5.358589614093944
53.0,77.68297514360893
53.0,54.22624190932402
53.0,55.720280106557766
53.0,68.76645527194341
53.0,65.80228651028301
53.0,81.55933683157491
53.0,76.685589850822
32.0,93.84041165663075
34.0,54.71031864063116
53.0,62.77736981034104
125.0,171.73944221936108
84.0,175.6269226433069
53.0,53.85177993902471
53.0,52.72545921571873
53.0,67.65655708895792
220.0,151.9230637487126
208.0,190.2409742248201
75.0,185.39273047626193
14.0,0.1859244659281103
26.0,-9.18356399446202
53.0,86.41478238128184
53.0,168.21151003640261
220.0,147.26034556272498
53.0,60.19468700543075
266.0,148.83170809924195
215.0,150.68410190376017
53.0,74.70817559408897
53.0,72.57664481189568
53.0,55.48647790051473
32.0,70.20600684802776
53.0,69.38295517910592
53.0,65.5450362922129
53.0,55.71367748992634
53.0,56.75765726377722
53.0,70.568376974501
53.0,78.94503632343549
239.0,137.510642790774
53.0,74.29215957400447
53.0,67.11116818711162
25.0,-26.995039655150322
220.0,148.51517920395418
39.0,61.66086905305565
22.0,-35.66675088138436
53.0,67.5676428088118
53.0,73.02774153713835
53.0,71.3914343323413
53.0,80.76445313805016
53.0,78.7609378836205
53.0,68.49961188467569
20.0,8.350371847620409
53.0,70.14549533272657
53.0,58.82690226948034
53.0,64.06462651149923
53.0,73.86484952901083
53.0,81.21968441592617
53.0,46.31183722779679
42.0,66.24127498852613
53.0,75.56976814816153
53.0,63.37541392188723
53.0,62.310838736339065
33.0,57.05457081903296
53.0,67.94643971079495
249.0,149.2693697117793
53.0,66.30261702866846
53.0,71.18350920551165
215.0,169.00109247998626
53.0,74.64571551420522
53.0,88.61652637816587
33.0,48.08264913759194
53.0,56.698511148410034
53.0,68.25911311659729
38.0,57.14897097184439
53.0,68.95253582606529
259.0,143.9502299034648
32.0,52.11991370630858
53.0,71.79163196861919
53.0,44.098490126329125
25.0,-10.801211082813097
308.0,146.0742399392475
21.0,-52.73062553797354
53.0,61.44819099307642
